,ticker,company_name,merged_company_name,spac_name,completion_date,post-completion_events,total_return_since_SPAC_IPO_spactrack,annualized_return_spactrack,current_price_spactrack,percent_change_prev_spactrack,market_cap_spactrack,is_warrants_trading,SPAC_IPO_date,SPAC_IPO_size,SPAC_initial_target_industry,notable_leadership_/_sponsor,SPAC_underwriter(s),Status,open_after_completion_date,close_1yr_after_completion_date,1yr_after_completion_date,is_goldman_underwriter,is_earlybird_underwriter,is_deutsche_underwriter,is_cantor_underwriter,is_chardan_underwriter,is_I-Bankers_underwriter,is_citigroup_underwriter
60,AGLY,Agiliti Inc,,Federal Street Acquisition Corp (FSAC),2019-01-04,,-86.00%,-48.52%,$1.40,-6.67%,,False,2017-07-18,$460.00,Healthcare,Thomas H. Lee Partners,"Citigroup, BofA Securities",Trading,0,,2020-01-06,False,False,False,False,False,False,True
61,AESE,Allied Esports Entertainment,"Allied Esports International, Inc.",Black Ridge Acquisition Corp. (BRAC),2019-08-09,,-87.30%,-74.10%,$1.27,-4.51%,"$41,072,453",True,2017-10-04,$120.00,Energy,Black Ridge Oil & Gas,EarlyBirdCapital,Trading,4.2,2.01,2020-08-10,False,True,False,False,False,False,False
62,TH,Target Hospitality Corp,"Target Logistics Management, RL Signor Holdings",Platinum Eagle Acquisition Corp (EAGL),2019-03-15,,-87.60%,-55.41%,$1.24,-2.17%,"$126,141,298",False,2018-01-11,$300.00,"Media, Entertainment","Jeff Sagansky, Harry Sloan (Former CEO of MGM)","Deutsche Bank, BofA Merrill Lynch",Trading,10.25,1.62,2020-03-16,False,False,True,False,False,False,False
63,CDEV,Centennial Resource Production,,Silver Run Acquisition Corp (SRAQ),2016-10-11,,-93.30%,-23.29%,$0.67,-1.92%,"$186,457,232",False,2016-02-23,$450.00,Energy,,"Deutsche Bank Securities, Citigroup and Goldman, Sachs & Co",Trading,16.0,18.79,2017-10-11,True,False,True,False,False,False,True
64,KXIN,Kaixin Auto Holdings,,CM Seven Star Acquisition Corporation (CMSS),2019-05-01,,-94.60%,-65.15%,$0.54,1.90%,"$32,669,240",True,2017-10-25,$180.00,,,"EarlyBirdCapital, I-Bankers",Trading,3.19,1.04,2020-04-30,False,True,False,False,False,True,False
65,HUNTF,Hunter Maritime Acquisition Corp,NCF Wealth Holdings Limited,Hunter Maritime Acquisition Corp (HUNT),2019-03-21,Delisted (April 2019),-95.00%,-60.73%,$0.50,0.00%,,False,2016-11-18,$150.00,Drybulk Shipping,Belgium's Saverys Family (CMB),"Morgan Stanley, I-Bankers",Trading,0,,2020-03-20,False,False,False,False,False,True,False
66,SONG,Akazoo S.A.,,Modern Media Acquisition Corp. (MMDM),2019-09-11,Delisted (May 2020 -- Fraud),-100.00%,-91.94%,,,,False,2017-05-11,$207.00,,Macquaire Capital,"Macquarie, EarlyBirdCapital",Non-Trading,5.35,1.04,2020-09-10,False,True,False,False,False,False,False
67,XYN,"Xynomic Pharmaceuticals Holdings, Inc.",,Bison Capital Acquisition Corp. (BCAC),2019-05-15,Delisted (July 2019),,,,,,False,2017-06-19,$52.50,,,"EarlyBirdCapital, Chardan",Non-Trading,0,,2020-05-14,False,True,False,False,True,False,False
68,NRCG,NRC Group Holdings Corp,,Hennessy Capital Acquisition Corp III (HCAC),2018-10-17,Merged with US Ecology (Nov 2019),,,,,,False,2017-06-22,$225.00,Industrial Manufacturer,Daniel Hennessy,"Credit Suisse, Stifel",Non-Trading,10.23,12.44,2019-10-17,False,False,False,False,False,False,False
69,CVON,ConvergeOne Holdings Inc,,Forum Merger Corporation (FMCI),2018-02-23,Acquired by CVC Fund VII (Nov 2018 - $1.8B),,,,,,False,2017-04-06,$151.50,,,EarlyBirdCapital,Non-Trading,8.2508,12.44,2019-02-25,False,True,False,False,False,False,False
70,AMR,Alta Mesa Resources Inc,"Alta Mesa Holdings, LP and Kingfisher Midstream, LLC",Silver Run Acquisition Corp II (SRUN),2018-02-09,Filed for Bankruptcy (Sep 2019),-100.00%,,,,,False,2017-05-23,"$1,035.00",Energy,,"Citigroup, Credit Suisse, Deutsche Bank, Goldman, Sachs",Non-Trading,9.25,0.77,2019-02-11,True,False,True,False,False,False,True
71,CCN,CardConnect Corp.,,FinTech Acquisition Corp (FNTC),2016-08-01,Acquired by First Data (2017 - $750M),,,,,,False,2015-02-13,$100.00,FinTech,"Betsy Cohen, Daniel Cohen","Cantor Fitzgerald, Northland",Non-Trading,0,,2017-08-01,False,False,False,True,False,False,False
